EventNumber,TriggerBits,Timestamp
109759,11101000,1989-09-29 13:57:46
109760,11101000,1989-09-29 13:57:46
109761,1000111,1989-09-29 13:57:47
109762,1000111,1989-09-29 13:57:47
109763,1000111,1989-09-29 13:57:48
109764,11101000,1989-09-29 13:57:49
109765,1000111,1989-09-29 13:57:49
109766,11101000,1989-09-29 13:57:51
109767,1000111,1989-09-29 13:57:51
109768,11101000,1989-09-29 13:57:53
109769,1000111,1989-09-29 13:57:54
109770,1000111,1989-09-29 13:57:54
109771,11101000,1989-09-29 13:57:54
109772,11101000,1989-09-29 13:57:55
109773,11101000,1989-09-29 13:57:55
109774,11101000,1989-09-29 13:57:55
109775,1000111,1989-09-29 13:57:55
109776,11101000,1989-09-29 13:57:56
109777,1000111,1989-09-29 13:57:56
109778,1000111,1989-09-29 13:57:56
109779,1000111,1989-09-29 13:57:56
109780,11101000,1989-09-29 13:57:57
109781,1000111,1989-09-29 13:57:57
109782,11101000,1989-09-29 13:57:58
109783,11101000,1989-09-29 13:57:58
109784,11101000,1989-09-29 13:57:58
109785,1000111,1989-09-29 13:57:58
109786,1000111,1989-09-29 13:57:59
109787,11101000,1989-09-29 13:57:59
109788,1000111,1989-09-29 13:58:00
109789,1000111,1989-09-29 13:58:00
109790,11101000,1989-09-29 13:58:01
109791,1000111,1989-09-29 13:58:01
109792,11101000,1989-09-29 13:58:01
109793,1000111,1989-09-29 13:58:01
109794,11101000,1989-09-29 13:58:01
109795,1000111,1989-09-29 13:58:02
109796,1000111,1989-09-29 13:58:03
109797,1000111,1989-09-29 13:58:03
109798,1000111,1989-09-29 13:58:04
109799,11101000,1989-09-29 13:58:04
109800,11101000,1989-09-29 13:58:04
109801,1000111,1989-09-29 13:58:04
109802,11101000,1989-09-29 13:58:05
109803,1000111,1989-09-29 13:58:05
109804,11101000,1989-09-29 13:58:06
109805,11101000,1989-09-29 13:58:07
109806,1000111,1989-09-29 13:58:07
109807,1000111,1989-09-29 13:58:08
109808,11101000,1989-09-29 13:58:09
109809,1000111,1989-09-29 13:58:09
109810,11101000,1989-09-29 13:58:09
109811,11101000,1989-09-29 13:58:09
109812,1000111,1989-09-29 13:58:12
109813,11101000,1989-09-29 13:58:12
109814,1000111,1989-09-29 13:58:13
109815,1000111,1989-09-29 13:58:14
109816,1000111,1989-09-29 13:58:15
109817,11101000,1989-09-29 13:58:16
109818,1000111,1989-09-29 13:58:17
109819,1000111,1989-09-29 13:58:17
109820,1000111,1989-09-29 13:58:18
109821,11101000,1989-09-29 13:58:18
109822,1000111,1989-09-29 13:58:18
109823,11101000,1989-09-29 13:58:18
109824,11101000,1989-09-29 13:58:19
109825,11101000,1989-09-29 13:58:20
109826,1000111,1989-09-29 13:58:21
109827,1000111,1989-09-29 13:58:22
109828,11101000,1989-09-29 13:58:23
109829,11101000,1989-09-29 13:58:23
109830,1000111,1989-09-29 13:58:23
109831,1000111,1989-09-29 13:58:23
109832,1000111,1989-09-29 13:58:24
109833,1000111,1989-09-29 13:58:24
109834,11101000,1989-09-29 13:58:24
109835,1000111,1989-09-29 13:58:26
109836,1000111,1989-09-29 13:58:27
109837,11101000,1989-09-29 13:58:28
109838,1000111,1989-09-29 13:58:28
109839,1000111,1989-09-29 13:58:28
109840,1000111,1989-09-29 13:58:29
109841,1000111,1989-09-29 13:58:29
109842,11101000,1989-09-29 13:58:29
109843,11101000,1989-09-29 13:58:30
109844,1000111,1989-09-29 13:58:30
109845,11101000,1989-09-29 13:58:30
109846,11101000,1989-09-29 13:58:30
109847,1000111,1989-09-29 13:58:30
109848,1000111,1989-09-29 13:58:31
109849,11101000,1989-09-29 13:58:31
109850,1000111,1989-09-29 13:58:31
109851,11101000,1989-09-29 13:58:31
109852,11101000,1989-09-29 13:58:32
109853,1000111,1989-09-29 13:58:33
109854,11101000,1989-09-29 13:58:33
109855,11101000,1989-09-29 13:58:35
109856,11101000,1989-09-29 13:58:35
109857,1000111,1989-09-29 13:58:35
109858,1000111,1989-09-29 13:58:36
109859,1000111,1989-09-29 13:58:36
109860,11101000,1989-09-29 13:58:37
109861,11101000,1989-09-29 13:58:37
109862,1000111,1989-09-29 13:58:38
109863,1000111,1989-09-29 13:58:39
109864,1000111,1989-09-29 13:58:39
109865,1000111,1989-09-29 13:58:40
109866,11101000,1989-09-29 13:58:40
109867,11101000,1989-09-29 13:58:41
109868,1000111,1989-09-29 13:58:41
109869,1000111,1989-09-29 13:58:41
109870,1000111,1989-09-29 13:58:42
109871,11101000,1989-09-29 13:58:42
